公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,最低年限,经验,最低工资,月最低工资
上海宝金信息科技有限公司,宝金信息,50-150人,未融资,浦东新区,大数据开发工程师,1-3年,本科,10k-20k,"平台好,项目长期稳","['1', '3']",1,"['10', '20']",10
上海牵趣网络科技有限公司,丰趣海淘,150-500人,B轮,普陀区,大数据开发工程师,3-5年,本科,20k-30k,弹性工作 各种假期 餐补 绩效 体检,"['3', '5']",3,"['20', '30']",20
上海晨之科信息技术有限公司,上海晨之科,150-500人,C轮,徐汇区,大数据开发工程师,3-5年,大专,15k-25k,"五险一金,年终奖,定期体检,节日福利","['3', '5']",3,"['15', '25']",15
上海银橙文化传媒股份有限公司,银橙传媒,150-500人,上市公司,徐汇区,大数据高级开发工程师,3-5年,本科,20k-25k,"团队强大,美女如云,免费午餐,年底奖金","['3', '5']",3,"['20', '25']",20
上海直真君智科技有限公司,直真君智,50-150人,不需要融资,徐汇区,大数据开发工程师,3-5年,本科,15k-30k,"福利多多,弹性工作","['3', '5']",3,"['15', '30']",15
绵阳驰聘企业管理有限公司,绵阳驰聘,少于15人,未融资,浦东新区,大数据/算法工程师,3-5年,本科,25K-50K,五险一金，年终奖,"['3', '5']",3,"['25', '50']",25
上海钱智金融信息服务有限公司,东方融资网,500-2000人,A轮,普陀区,大数据开发工程师,1-3年,本科,12k-20k,"年14薪,带薪年假,弹性工作,发展快","['1', '3']",1,"['12', '20']",12
上海靖琪网络科技有限公司,靖琪,50-150人,天使轮,浦东新区,大数据开发工程师,1-3年,本科,20k-35k,"工作氛围好,成长空间大,BAT投资,员工福利多","['1', '3']",1,"['20', '35']",20
上海联璧电子科技（集团）有限公司,联璧集团,500-2000人,B轮,松江区,大数据开发工程师,1-3年,本科,8k-15k,晋升空间,"['1', '3']",1,"['8', '15']",8
上海复歌信息科技有限公司,复歌科技,15-50人,A轮,静安区,大数据开发工程师,1-3年,本科,15k-25k,"五险一金,带薪休假,年底双薪,免费体检","['1', '3']",1,"['15', '25']",15
上海九路科技有限公司,九路科技,15-50人,未融资,静安区,大数据开发工程师,3-5年,本科,30k-55k,"团队大牛多,薪资给力","['3', '5']",3,"['30', '55']",30
上海彩亿信息技术有限公司,有鱼金融科技,500-2000人,不需要融资,徐汇区,大数据开发,5-10年,本科,25k-45k,亿级用户平台，行业前三，极客团队,"['5', '10']",5,"['25', '45']",25
高升控股股份有限公司,高升控股,150-500人,上市公司,长宁区,大数据研发工程师,1-3年,本科,15k-30k,"上市公司,出国旅游,各种补贴,生日礼物","['1', '3']",1,"['15', '30']",15
合肥庐阳区沥柏食品商行,沥柏网络,500-2000人,不需要融资,浦东新区,大数据开发工程师,3-5年,本科,20k-40k,"待遇优厚,弹性上班,团队氛围好,领导nic","['3', '5']",3,"['20', '40']",20
上海浦东发展银行股份有限公司信用卡中心,浦发卡中心,2000人以上,上市公司,浦东新区,大数据开发工程师,1-3年,本科,15k-25k,"潜力,高薪","['1', '3']",1,"['15', '25']",15
彩虹无线（北京）新技术有限公司,彩虹无线,50-150人,A轮,普陀区,高级大数据开发工程师,5-10年,本科,20k-40k,"六险一金,带薪年假,绩效激励,员工旅游","['5', '10']",5,"['20', '40']",20
上海云砥信息科技有限公司,云砥信息,50-150人,A轮,杨浦区,大数据开发工程师,1-3年,大专,10k-20k,"五险一金,午餐补贴,弹性工作,扁平管理","['1', '3']",1,"['10', '20']",10
上海跬智信息技术有限公司,Kyligence,50-150人,A轮,浦东新区,高级大数据开发工程师,1-3年,本科,20k-30k,从事APACHE开源工作；伙伴是技术大牛兼吃货,"['1', '3']",1,"['20', '30']",20
上海汇航捷讯网络科技有限公司,运去哪,150-500人,B轮,浦东新区,大数据开发工程师,3-5年,本科,15k-25k,"大数据,互联网B轮,美女如云,国际物流","['3', '5']",3,"['15', '25']",15
无锡华云数据技术服务有限公司,华云数据,500-2000人,D轮及以上,杨浦区,15-大数据开发经理,5-10年,本科,30k-40k,各项补贴 节日福利 弹性上下班 年度旅游,"['5', '10']",5,"['30', '40']",30
贝壳金控控股集团有限公司,贝壳金控,500-2000人,未融资,黄浦区,大数据开发工程师-SH02901,3-5年,本科,20k-40k,"五险一金,带薪年假","['3', '5']",3,"['20', '40']",20
上海七牛信息技术有限公司,七牛云,150-500人,D轮及以上,浦东新区,高级大数据工程师,3-5年,本科,15k-30k,六险一金 不打卡 出国旅游,"['3', '5']",3,"['15', '30']",15
上海浦东发展银行股份有限公司信用卡中心,浦发卡中心,2000人以上,上市公司,浦东新区,高级大数据开发工程师,3-5年,本科,20k-30k,"潜力,高薪","['3', '5']",3,"['20', '30']",20
银联智惠信息服务（上海）有限公司,银联智惠,50-150人,不需要融资,浦东新区,高级大数据开发工程师,3-5年,本科,20k-30k,"大数据,linux,hive,spark","['3', '5']",3,"['20', '30']",20
天翼电子商务有限公司,翼支付,500-2000人,上市公司,虹口区,大数据软件工程师 - 流计算方向,1-3年,本科,15k-28k,"八险二金,培训机会,各种补贴","['1', '3']",1,"['15', '28']",15
斯干网络科技有限公司,斯干,50-150人,B轮,徐汇区,大数据开发,1-3年,本科,15k-25k,"上升空间大,福利待遇好","['1', '3']",1,"['15', '25']",15
