公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
贵州宽凳智云科技有限公司北京分公司,宽凳科技,50-150人,A轮,朝阳区,算法工程师,不限,硕士,20k-40k,"免费零食,免费健身房,专业指导,免费下午茶"
北京主线科技有限公司,主线科技,15-50人,天使轮,海淀区,控制算法工程师,应届毕业生,硕士,15k-30k,"核心岗位,竞争力薪酬,行业前景好"
北京星尘纪元智能科技有限公司,星尘数据,15-50人,A轮,朝阳区,中级算法工程师,1-3年,硕士,20k-40k,"股票期权,地铁周边,福利好"
江苏曲速教育科技有限公司,极课大数据,150-500人,B轮,朝阳区,算法工程师,不限,硕士,20k-40k,"扁平管理,工作氛围好,氛围活跃,弹性工作"
北京主线科技有限公司,主线科技,15-50人,天使轮,海淀区,高精地图算法工程师,不限,硕士,20k-40k,"核心岗位,竞争力薪酬,行业前景好"
北京五八到家信息技术有限公司,58到家,2000人以上,A轮,朝阳区,高级算法工程师,3-5年,硕士,20k-38k,"平台大,团队氛围好,早十晚七"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,算法平台工程师,不限,硕士,20k-40k,牛人云集，扁平管理
北京金堤科技有限公司,天眼查,50-150人,A轮,海淀区,算法工程师,不限,硕士,20k-40k,"核心部门,万千宠爱,五险一金,技术大牛"
北京异构智能科技有限公司,NovuMind Inc.,15-50人,B轮,海淀区,算法工程师,1-3年,硕士,20k-40k,"股票期权,带薪年假,年终奖,扁平管理"
北京主线科技有限公司,主线科技,15-50人,天使轮,海淀区,高精地图算法工程师,应届毕业生,硕士,15k-30k,"核心岗位,竞争力薪酬,行业前景好,自动驾驶"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,VSLAM算法工程师,1-3年,硕士,18k-35k,补充医疗、补助、年终奖、股票期权
北京极智嘉科技有限公司,极智嘉,150-500人,B轮,朝阳区,系统研发部-数据算法工程师,不限,硕士,20k-40k,"六险一金,弹性工作,免费果茶"
北京八月小岛科技有限公司,BCTOPIA,150-500人,天使轮,昌平区,AI算法工程师,1-3年,硕士,20k-40k,"区块链,创业公司,高薪,蓝海行业"
北京主线科技有限公司,主线科技,15-50人,天使轮,海淀区,定位算法工程师,不限,硕士,20k-40k,"核心岗位,竞争力薪酬,行业前景好"
北京迪路科技有限公司,迪路科技,少于15人,天使轮,海淀区,点云算法工程师,1-3年,硕士,15k-30k,"五险一金,弹性工作,股票期权"
北京车和家信息技术有限责任公司,车和家,500-2000人,B轮,朝阳区,自动驾驶算法研发工程师-自定位算法方向,3-5年,硕士,20k-40k,"扁平化管理,六险一金,团队氛围好,公司发展好"
北京零秒科技有限公司,零秒科技,15-50人,A轮,海淀区,算法工程师（语义理解）,3-5年,硕士,20k-30k,"晋升空间大,硅谷团队,免费两餐,扁平管理"
上海摩象网络科技有限公司,上海摩象网络科技有限公司,50-150人,A轮,海淀区,移动端算法工程师,3-5年,硕士,20k-40k,"空间大,环境好"
北京睿企信息科技有限公司,北京睿企信息科技有限公司,15-50人,天使轮,朝阳区,图像/视频算法工程师,3-5年,硕士,20k-40k,"五险一金,不定期团建,带薪年假,年终奖"
北京深瞐科技有限公司,深瞐科技,50-150人,B轮,海淀区,高级算法工程师（北京）,3-5年,硕士,20k-40k,"各种补助,年度体检,定期团建,14-16"
北京银河润泰科技有限公司,北京银河润泰,50-150人,A轮,朝阳区,核心算法工程师,1-3年,硕士,20k-30k,"五险一金,公司氛围好,监考机器人"
达闼科技（北京）有限公司,达闼科技,150-500人,B轮,朝阳区,人脸属性检测算法工程师,3-5年,硕士,17k-34k,"行业前景好,公司潜力大,发展空间大,福利待遇佳"
北京车势科技有限公司,车势科技,150-500人,A轮,朝阳区,人工智能算法工程师,3-5年,硕士,20k-30k,"工作居住证,环境好,国际化"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,机械臂算法工程师,应届毕业生,硕士,19k-30k,前沿科技，牛人云集，扁平管理，优质福利
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,海淀区,高级算法工程师（药物研发方向）,3-5年,博士,20k-40k,"五险一金,年底双薪,带薪年假,MIT大牛"
驭势科技（北京）有限公司,驭势科技,50-150人,A轮,房山区,规划控制算法工程师,不限,硕士,15k-30k,"无人驾驶,合伙人制度,工作餐,大牛多"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,环境建模算法工程师,1-3年,硕士,18k-35k,牛人云集
深圳佑驾创新科技有限公司,MINIEYE,50-150人,A轮,海淀区,视觉算法工程师,3-5年,硕士,15k-30k,"无人驾驶,海归团队,车厂合作,扁平化管理"
北京周同科技有限公司,周同科技,50-150人,A轮,朝阳区,高级算法工程师（AI智能）,1-3年,硕士,20k-40k,"五险一金,补充医疗,全额缴纳,午餐补贴"
深思考人工智能机器人科技（北京）有限公司,深思考人工智能机器人,50-150人,A轮,海淀区,计算机视觉算法工程师,不限,硕士,15k-30k,"纯AI公司,前沿公司,大平台"
彼乐智慧科技（北京）有限公司,彼乐智慧,15-50人,天使轮,海淀区,图像算法工程师,3-5年,硕士,20k-30k,"图像大牛,教育行业,国资背景"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,机器视觉与机械臂算法工程师,不限,硕士,18k-35k,"牛人密布,高薪"
北京快鱼电子股份公司,快鱼电子,150-500人,未融资,海淀区,音频算法工程师,1-3年,硕士,20k-40k,"前瞻技术,氛围好,学习资源多,福利好"
北京慧闻科技发展有限公司,慧闻科技,50-150人,未融资,西城区,人工智能算法工程师,1-3年,硕士,15k-30k,"人工智能,算法,深度学习,机器人"
平安医疗科技有限公司,平安医疗科技研究院,2000人以上,未融资,朝阳区,AI算法研究员,1-3年,硕士,15k-30k,精英团队
北京多面体科技有限公司,多面体科技,少于15人,天使轮,海淀区,视觉算法工程师,1-3年,硕士,15k-30k,"五险一金,技术大牛,股票期权,福利多多"
创新工场（北京）企业管理股份有限公司,创新工场AI工程院,50-150人,未融资,海淀区,算法工程师（运筹优化）,3-5年,硕士,20k-40k,"大牛团队,朝阳行业,员工福利"
北京时代拓灵科技有限公司,时代拓灵,15-50人,天使轮,东城区,高级语音算法工程师,3-5年,硕士,20k-40k,"前沿算法,五险一金,股权激励,弹性工作制"
芋头科技（杭州）有限公司,Rokid,150-500人,B轮,海淀区,声纹算法工程师/说话人识别算法工程师,不限,硕士,20k-40k,"博士云集,人工智能,年底双薪,期权奖励"
北京文通科技有限公司,文通科技,150-500人,未融资,海淀区,图像算法工程师,1-3年,硕士,15k-20k,"五险一金,年底双薪,免费旅游"
杭州云脑科技有限公司,云脑科技,15-50人,A轮,朝阳区,图像处理算法工程师,3-5年,硕士,15k-30k,"五险一金,零食饮料,弹性工作,硅谷团队"
北京矩视智能科技有限公司,矩视智能,15-50人,天使轮,海淀区,视觉算法工程师,1-3年,硕士,15k-30k,"人工智能,技术前沿,风口领域,待遇好"
达闼科技（北京）有限公司,达闼科技,150-500人,B轮,朝阳区,语音合成算法工程师,3-5年,硕士,20k-40k,"行业前景好,公司潜力大,发展空间大,福利待遇佳"
北京羿娲科技有限公司,羿娲科技,15-50人,天使轮,海淀区,视觉算法工程师,1年以下,硕士,15k-30k,"试用期全薪,五险一金,全年14薪,股权激励"
北京意锐新创科技有限公司,意锐,150-500人,B轮,海淀区,图像算法工程师,3-5年,硕士,20k-40k,二维码支付
中科物栖（北京）科技有限责任公司,中科物栖,50-150人,A轮,海淀区,算法性能优化工程师,3-5年,硕士,20k-40k,"算法优化,深度学习,AI,人工智能"
平安医疗科技有限公司,平安医疗科技研究院,2000人以上,未融资,朝阳区,算法科学家,1-3年,硕士,20k-40k,精英团队
苏州天瞳威视电子科技有限公司,CalmCar Vision,50-150人,A轮,海淀区,视觉算法工程师,1-3年,硕士,15k-30k,"年底双薪,午餐补助,弹性管理,团队聚餐"
触景无限科技（北京）有限公司,触景无限,50-150人,B轮,海淀区,双目视觉算法工程师,1-3年,硕士,15k-25k,"14薪,年终奖金,带薪年假,五险一金"
北京银河润泰科技有限公司,北京银河润泰,50-150人,A轮,朝阳区,视觉算法工程师,1-3年,硕士,18k-32k,五险一金、不打卡、无限量零食供应等
上海摩象网络科技有限公司,上海摩象网络科技有限公司,50-150人,A轮,海淀区,图像算法工程师,3-5年,硕士,20k-40k,晋升空间大
上海摩象网络科技有限公司,上海摩象网络科技有限公司,50-150人,A轮,海淀区,图像算法工程师,1-3年,硕士,15k-25k,"提升空间大,领导好,能力提升,员工旅游"
开易（北京）科技有限公司,开易科技,15-50人,A轮,朝阳区,视觉算法工程师,1-3年,硕士,20K-40K,"五险一金,年终期权,13薪,年终奖"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,算法策略师,不限,硕士,20k-30k,"策略支持,数据落地,职位空间大"
北京光年无限科技有限公司,图灵机器人,150-500人,B轮,海淀区,语音识别算法工程师,不限,硕士,15k-30k,"核心部门,大神带队,技术成长快"
北京泰和盛创科技有限公司,泰和盛创,15-50人,天使轮,朝阳区,人工智能&amp;算法经理,3-5年,硕士,20k-40k,"深度学习,人工智能"
北京深感科技有限公司,深感科技,15-50人,天使轮,海淀区,图像算法工程师,3-5年,硕士,20K-40K,五险一金、带薪年假、错峰上下班等等
北京中科寒武纪科技有限公司,寒武纪科技,50-150人,A轮,海淀区,算法分析工程师,不限,硕士,15k-30k,"扁平化管理,独角兽公司,弹性工作,生日福利"
北京航天泰睿科技有限公司,航天泰睿,50-150人,未融资,海淀区,图像算法工程师,不限,硕士,15k-25k,"团队厉害,股权激励,工作环境好,年轻有活力"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,图像算法工程师,1-3年,硕士,20k-40k,行业大牛，人工智能，前沿技术及产品
北京心中有数科技有限公司,KuWeather,15-50人,A轮,海淀区,机器学习算法工程师,1-3年,硕士,15k-25k,"大牛团队,晋升空间,十四薪,年终奖"
北京清帆科技有限公司,清帆科技,15-50人,A轮,海淀区,语音识别算法工程师,不限,硕士,18k-35k,"年13+薪,期权激励,优秀团队,蓝海领域"
北京迪路科技有限公司,迪路科技,少于15人,天使轮,海淀区,计算机视觉算法工程师,3-5年,硕士,15k-30k,"五险一金,弹性工作,股票期权,技术牛人"
北京聚力维度科技有限公司,聚力维度,50-150人,天使轮,海淀区,深度强化学习算法工程师,1-3年,硕士,20k-40k,"影视智能,背靠巨头,清华合作,科研文化"
极限元（北京）智能科技股份有限公司,极限元,15-50人,天使轮,海淀区,语音识别算法工程师,1-3年,硕士,15k-30k,"13薪,五险一金,下午茶水果,弹性工作"
上海摩象网络科技有限公司,上海摩象网络科技有限公司,50-150人,A轮,海淀区,高级图像算法工程师,1-3年,硕士,20k-40k,"提升空间大,领导好,能力提升,员工旅游"
北京八月小岛科技有限公司,BCTOPIA,150-500人,天使轮,昌平区,区块链算法工程师,3-5年,硕士,20k-40k,"区块链,高薪,创业公司,期权"
