公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,大数据开发工程师,3-5年,本科,25k-35k,六险一金，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，职业大牛，晋升空间，团队氛围好，优厚薪资
北京明略软件系统有限公司,明略数据,150-500人,C轮,朝阳区,大数据开发工程师,1-3年,本科,15k-20k,六险一金
一点网聚科技有限公司,一点资讯,500-2000人,D轮及以上,朝阳区,大数据研发工程师,3-5年,本科,30k-50k,"弹性工作,精英团队,发展空间大,股票期权"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,大数据开发工程师（代码强）,3-5年,本科,22k-38k,"三餐,健身房,mac"
北京贝斯平云科技有限公司,Bespin,50-150人,A轮,朝阳区,大数据工程师（运维）,3-5年,本科,15k-30k,"五险一金,位置便利,弹性工作,补充医疗"
广州汇量信息科技有限公司,Mobvista,500-2000人,上市公司,朝阳区,00064-资深大数据工程师,3-5年,本科,30k-45k,"股票期权,大牛多,包三餐,福利好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,大数据研发工程师,5-10年,本科,25k-50k,"14薪,股票期权"
北京掌众科技有限公司,掌众金服,500-2000人,B轮,海淀区,大数据研发工程师,1-3年,本科,15k-25k,BAT大牛、各种补助、过节福利、七险一金等
北京交研智慧科技有限公司,交研智慧科技,50-150人,不需要融资,丰台区,大数据开发工程师,3-5年,本科,15k-20k,"技术大牛多,政府大项目,成长性好,行业平台棒"
凡普金科集团有限公司,凡普金科,2000人以上,不需要融资,东城区,大数据工程师,3-5年,本科,20k-40k,"算法团队,快速发展,优质项目"
京东金融,京东金融,2000人以上,上市公司,大兴区,大数据开发工程师,3-5年,本科,18k-36k,"班车,餐补"
乐视网信息技术（北京）股份有限公司,乐视,2000人以上,上市公司,朝阳区,大数据开发工程师,3-5年,本科,15k-30k,"物联网方向,团队氛围佳"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,大数据开发工程师-工程方向,3-5年,本科,20k-40k,"平台大,福利好,发展快"
美业邦（北京）科技有限公司,美业邦,150-500人,A轮,朝阳区,大数据开发工程师,5-10年,本科,30k-45k,"大咖多,奖金多,氛围好,公司靠谱"
中企动力科技股份有限公司,中企动力,2000人以上,上市公司,大兴区,大数据开发工程师,5-10年,本科,20k-40k,工作居住证，六险一金，平台大，扁平管理
凡普金科集团有限公司,凡普金科,2000人以上,不需要融资,东城区,大数据工程师,3-5年,本科,25k-50k,"六险一金,扁平管理,公司正规,福利好"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,大数据研发工程师,1-3年,本科,20k-40k,"扁平管理,班车饭补,待遇给力,股票期权"
北京怡合春天科技有限公司,本木医疗,50-150人,不需要融资,朝阳区,大数据运维工程师,3-5年,本科,25k-35k,六险一金 发展空间大 团队氛围好
北京新奥华鼎贸易有限公司,阳光E购,2000人以上,上市公司,朝阳区,大数据开发工程师,5-10年,本科,15k-30k,"B2B,互联网+,大平台"
北京明略软件系统有限公司,明略数据,150-500人,C轮,海淀区,大数据开发工程师,3-5年,本科,20k-40k,"开发新项目,新产品开发"
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,海淀区,大数据运维工程师,不限,本科,15k-30k,"六险一金,弹性工作,定期体检,免费班车"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,大数据研发工程师,3-5年,本科,35k-70k,六险一金，弹性工作，免费三餐，餐补，租房补贴，带薪休假，健身瑜伽
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,大数据架构工程师,3-5年,本科,15k-30k,免费午晚餐
神州数码医疗科技股份有限公司,神州数码医疗,150-500人,不需要融资,海淀区,大数据开发工程师,5-10年,本科,20k-30k,"七险一金,周末双休,带薪年假,节日福利"
小糖互联（北京）网络科技有限公司,糖豆,50-150人,B轮,海淀区,大数据开发工程师,1-3年,本科,20k-40k,"蓝海领域,追求极致,六险一金,弹性工作"
